#Time	June	Oct	Mar
62338	0.781756358	0.778974273	0.771759165
62340	0.781764958	0.778974411	0.771776772
62385	0.781770076	0.778985514	0.771776822
62400	0.781770388	0.778997973	0.77177866
62453	0.781781294	0.778998813	0.771778711
62465	0.781788613	0.779000127	0.771780628
62474	0.781790921	0.779000745	0.771784845
62479	0.781791181	0.779000797	0.77179218
62495	0.781843674	0.779021571	0.771795615
62497	0.781875268	0.779021601	0.771801256
62530	0.781881579	0.779022511	0.771801823
62533	0.781882137	0.779023093	0.77180474
62535	0.781883512	0.779029257	0.771852415
62579	0.781912021	0.77903746	0.771852434
62585	0.781916202	0.779038095	0.771865654
62624	0.781917397	0.779046315	0.771883043
62654	0.781919116	0.779050494	0.771917486
62659	0.781927881	0.779050519	0.771921341
62699	0.781931893	0.779053471	0.771923804
62729	0.781933476	0.77906876	0.771938373
62745	0.781937894	0.779082088	0.771938936
62779	0.78193798	0.779082824	0.771950662
62823	0.781940397	0.779095828	0.771957655
62826	0.781943159	0.779120126	0.771957693
62885	0.781948091	0.779130676	0.771964097
62895	0.781949902	0.779131446	0.772067937
62942	0.781950784	0.779132133	0.772068081
62948	0.781970697	0.77913276	0.772095406
62967	0.781970762	0.779138494	0.772100159
63024	0.781974444	0.779139121	0.772100178
63079	0.781982108	0.779139506	0.772103348
63130	0.781984355	0.779140105	0.772145008
63132	0.781986396	0.77914072	0.772146526
63134	0.781987491	0.779141843	0.772151024
63135	0.781987937	0.779144939	0.772153825
63137	0.781988944	0.779152209	0.772163959
63147	0.781991339	0.779164785	0.772164244
63148	0.781997248	0.779170049	0.77216426
63153	0.782002684	0.779172736	0.77216548
63155	0.78201497	0.779172756	0.77219597
63157	0.782017816	0.779179913	0.772207205
63177	0.782043539	0.779190797	0.77220757
63181	0.782043688	0.779195283	0.772207616
63190	0.782046603	0.779197032	0.77220783
63191	0.78204711	0.779198253	0.772207994
63198	0.782051478	0.779198773	0.772208609
63208	0.782055171	0.779200248	0.77222278
63212	0.782060593	0.779200642	0.772222839
63221	0.78206074	0.77921615	0.772223146
63257	0.782061376	0.779269201	0.772223198
63300	0.782061637	0.779269576	0.772258996
63309	0.782062547	0.779271264	0.772259012
63314	0.782065705	0.779279532	0.772263836
63328	0.782066511	0.779285966	0.772264086
63344	0.782070296	0.779305473	0.77227005
63356	0.782082465	0.77931939	0.772270068
63404	0.782082484	0.779320589	0.772270127
63427	0.782089252	0.779320721	0.772273371
63441	0.782092207	0.779320947	0.772273389
63442	0.782096461	0.779331902	0.772279929
63444	0.782097044	0.779334711	0.772312464
63464	0.782098101	0.779347457	0.772313988
63469	0.782102542	0.779347567	0.772354459
63507	0.782103617	0.779351678	0.772358418
63538	0.782106601	0.779351976	0.772358477
63540	0.782117593	0.779353891	0.772364745
63568	0.782176517	0.779366265	0.772366414
63569	0.782178219	0.779370373	0.772368301
63600	0.782178563	0.779396969	0.772393556
63601	0.782180937	0.779400494	0.772397465
63611	0.782182474	0.779411457	0.772400913
63616	0.782191507	0.779472247	0.7724279
63636	0.782198041	0.77948889	0.772440685
